"3","2020/09/28",1.16211,1.16799,1.16150,1.16663
"3","2020/09/25",1.16682,1.16851,1.16121,1.16276
"3","2020/09/24",1.16573,1.16869,1.16265,1.16672
"3","2020/09/23",1.17034,1.17190,1.16513,1.16608
"3","2020/09/22",1.17674,1.17716,1.16914,1.1709
"3","2020/09/21",1.18386,1.18717,1.17316,1.17731
"3","2020/09/18",1.18417,1.18703,1.18257,1.18442
"3","2020/09/17",1.18107,1.18522,1.17366,1.18465
"3","2020/09/16",1.18444,1.18827,1.17874,1.18151
"3","2020/09/15",1.18618,1.19004,1.18393,1.18459
"3","2020/09/14",1.18322,1.18880,1.18318,1.1863
"3","2020/09/11",1.18100,1.18741,1.18089,1.1843
"3","2020/09/10",1.17976,1.19175,1.17976,1.18141
"3","2020/09/09",1.17711,1.18336,1.17526,1.18042
"3","2020/09/08",1.18090,1.18275,1.17654,1.1774
"3","2020/09/07",1.18350,1.18486,1.18106,1.18121
"3","2020/09/04",1.18455,1.18654,1.17809,1.18374
"3","2020/09/03",1.18512,1.18646,1.17889,1.18521
"3","2020/09/02",1.19113,1.19288,1.18220,1.1855
"3","2020/09/01",1.19317,1.20113,1.19010,1.19124
"3","2020/08/31",1.19036,1.19659,1.18842,1.19369
"3","2020/08/28",1.18155,1.19198,1.18108,1.19008
"3","2020/08/27",1.18272,1.19017,1.17624,1.18217
"3","2020/08/26",1.18302,1.18392,1.17716,1.18296
"3","2020/08/25",1.17833,1.18436,1.17821,1.18346
"3","2020/08/24",1.17905,1.18494,1.17840,1.17876
"3","2020/08/21",1.18572,1.18830,1.17542,1.17969
"3","2020/08/20",1.18352,1.18687,1.18021,1.18609
"3","2020/08/19",1.19260,1.19527,1.18300,1.184
"3","2020/08/18",1.18669,1.19656,1.18608,1.19349
"3","2020/08/17",1.18385,1.18808,1.18286,1.18721
"3","2020/08/14",1.18089,1.18504,1.17812,1.18385
"3","2020/08/13",1.17799,1.18641,1.17793,1.18149
"3","2020/08/12",1.17353,1.18174,1.17110,1.17868
"3","2020/08/11",1.17356,1.18075,1.17220,1.17398
"3","2020/08/10",1.17816,1.18007,1.17362,1.17369
"3","2020/08/07",1.18692,1.18819,1.17551,1.17864
"3","2020/08/06",1.18596,1.19160,1.18176,1.18774
"3","2020/08/05",1.17956,1.19049,1.17913,1.18644
"3","2020/08/04",1.17578,1.18059,1.17213,1.18013
"3","2020/08/03",1.17706,1.17968,1.16957,1.17651
"3","2020/07/31",1.18418,1.19084,1.17615,1.17762
